Year,Provider Type,Provider,Provider (detailed),Provider Code,Agency Code,Extending Agency,CRS Identification N°,Donor project N°,Recipient,Recipient Code,Recipient Region,Recipient Income Group (OECD Classification),Concessionality,Climate objective (applies to Rio-marked data only) or climate component,Adaptation objective (applies to Rio-marked data only),Mitigation objective (applies to Rio-marked data only),Adaptation-related development finance - Commitment - Current USD thousand,Adaptation-related development finance - Commitment - 2018 USD thousand,Mitigation-related development finance - Commitment - Current USD thousand,Mitigation-related development finance - Commitment - 2018 USD thousand,Overlap - Commitment - Current USD thousand,Overlap - Commitment - 2018 USD thousand,Climate-related development finance - Commitment - Current USD thousand,Climate-related development finance - Commitment - 2018 USD thousand,Channel of Delivery Code,Channel of Delivery,Sub-sector Code,Sector (detailed),Sub-sector,Type of Aid,Financial Instrument,Type of Finance,Short Description,Description,Coal-related Financing,"Share of the underlying commitment, % (when available)",Gender,ID
2015,DAC member,United Kingdom,United Kingdom,12,3,Foreign & Commonwealth Office,2015003945,PPY CHN 1560,China (People's Republic of),730,Far East Asia,UMICs,Concessional and developmental,Principal,Not targeted/Not screened,Principal,0,0,77.6867838,71.92368094,0,0,77.6867838,71.92368094,12000,Recipient Government,41020,IV.1. General Environment Protection,Biosphere protection,C01,Grant,110,ACCELERATING LOW CARBON TRANSITION IN GUANGDONG,"Help Guangdong province with greenhouse gas emission and energy saving initiatives, in turn leading to a more coordinated climate change policy at a national level.",NA,1,NA,7544
2015,DAC member,United Kingdom,United Kingdom,12,3,Foreign & Commonwealth Office,2015004223,PPY CHN 1510,China (People's Republic of),730,Far East Asia,UMICs,Concessional and developmental,Principal,Not targeted/Not screened,Principal,0,0,104.7196333,96.95113024,0,0,104.7196333,96.95113024,11000,Donor Government,32167,"III.2. Industry, Mining, Construction",Energy manufacturing (fossil fuels),C01,Grant,110,ADVICE TO CHINA ON BUILDING A RENEWABLE ENERGY MARKET,"Provide policy recommendations on optimising tax and subsidy mechanisms to develop renewable energy, enabling China's energy transition to long term sustainable development.",NA,1,NA,7577
2015,DAC member,United Kingdom,United Kingdom,12,3,Foreign & Commonwealth Office,2015001597,PPY CHN 1596,China (People's Republic of),730,Far East Asia,UMICs,Concessional and developmental,Principal,Principal,Not targeted/Not screened,1.833460657,1.69744753,0,0,0,0,1.833460657,1.69744753,11000,Donor Government,41082,IV.1. General Environment Protection,Environmental research,D02,Grant,110,ASSESSMENT STUDY OF THE INDIRECT ECONOMIC IMPACT OF EXTREME CLIMATE EVENTS IN CHINESE COASTAL CITIES.,Study to examine the economic and policy implications of extreme climate events in Chinese coastal cities in view of future programme activity.,NA,1,NA,7345
2015,DAC member,United Kingdom,United Kingdom,12,3,Foreign & Commonwealth Office,2015002577,PPY SEA 1433,Thailand,764,Far East Asia,UMICs,Concessional and developmental,Principal,Not targeted/Not screened,Principal,0,0,16.04278075,14.85266589,0,0,16.04278075,14.85266589,11000,Donor Government,32167,"III.2. Industry, Mining, Construction",Energy manufacturing (fossil fuels),C01,Grant,110,ASSIST WITH LOW CARBON DEVELOPMENT,This project aims to support clean energy by providing technical assistance to the Thai government to support its ambition to scale up the deployment of solar PV energy.  The project will focus on the how to overcome the financial barriers to greater sol,NA,1,NA,7395
2015,DAC member,United States,United States,302,1,Agency for International Development,2015015558,76_49520,Philippines,755,Far East Asia,LMICs,Concessional and developmental,Principal,Not targeted/Not screened,Principal,0,0,3945.581,4160.454408,0,0,3945.581,4160.454408,90000,Other,41020,IV.1. General Environment Protection,Biosphere protection,C01,Grant,110,BUILDING LOW EMISSIONS ALTERNATIVES TO DEVELOP ECONOMIC RESILIENCE AND SUSTAINABILITY (B-LEADERS) - CLEAN PRODUCTIVE ENVIRONMENT,"The Building Low Emissions Alternatives to Develop Economic Resilience and Sustainability activity will strengthen the capacities of the Philippines Climate Change Commission, Department of Energy, Department of Environment and Natural Resources, and local governments to plan, design and implement low emission development strategies. It supports the countrys climate change programs and green growth strategies as articulated in the Philippine Development Plan (2011-2016), Philippine Energy Plan (2012-2030), National Climate Change Action Plan (2011-2028), and the U.S. Governments Enhancing Capacity for Low Emissions Development program and Agency Priority Goal milestones.FY 2014 funds will support low emissions development planning by helping establish institutional arrangements for national greenhouse gas (GHG) inventory and data management systems, training government officials on analytical tools to evaluate climate change mitigation options and policies, and developing local energy and land use mapping plans. LEDS implementation will also be supported by mentoring project developers and financing institutions to use resource data and visualization tools to inform LEDS investment decisions, and improving business processes to facilitate increased investments in clean energy. Activities will be closely coordinated with USAIDs economic and governance activities in CDI partner cities in working with local governments to implement low emission and climate resilient initiatives. (IM#42875; $2,764,986 Direct GCC-CE for LEDS Planning/Development; $251,001 Direct GCC-SL for emissions inventories, monitoring and technical capacity building)",NA,1,Not significant,8117
2015,DAC member,Korea,Korea,742,4,Korea International Cooperation Agency,2015014878,2.01514E+12,Philippines,755,Far East Asia,LMICs,Concessional and developmental,Principal,Significant,Principal,730.661,0,730.661,0,730.661,786.9747234,730.661,786.9747234,31000,Public-Private Partnerships (PPP),43060,IV.2. Other Multisector,Disaster Risk Reduction,C01,Grant,110,"BUILDING SAFE SCHOOL  IN MASBATE, PHILIPPINES","To provide a safe learning environment , cope with disaster and improve capacity of risk management",NA,1,Not significant,5151
2015,DAC member,Germany,Germany,5,1,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,2015001649,200922989,Viet Nam,769,Far East Asia,LMICs,Concessional and developmental,Principal,Principal,Not targeted/Not screened,14.5527,16.07044275,0,0,0,0,14.5527,16.07044275,10000,Public Sector Institutions,41030,IV.1. General Environment Protection,Bio-diversity,C01,Grant,110,CAPACITY BUILDING FOR COLLABORATIVE MANAGEMENT OF COASTAL WETLANDS IN SOC TRANG,Coastal Wetlands in the province Soc Trang are protected and used in a sustainable manner,NA,1,Significant,2613
2015,DAC member,United States,United States,302,1,Agency for International Development,2015015673jym,76_49622,Mexico,358,Caribbean & Central America,UMICs,Concessional and developmental,Principal,Principal,Principal,62.72,0,62.72,0,62.72,66.13568457,62.72,66.13568457,90000,Other,41020,IV.1. General Environment Protection,Biosphere protection,C01,Grant,110,"CLIMATE ECONOMIC ANALYSIS FOR DEVELOPMENT, INVESTMENT AND RESILIENCE (CEADIR) - CLEAN PRODUCTIVE ENVIRONMENT","The Climate Economic Analysis for Development, Investment and Resilience (CEADIR) activity will assist countries considering policy options for mitigating and adapting to global climate change (GCC). In formulating policy, these countries need better information on the economic costs and benefits; health, safety, and environmental co-benefits for various stakeholder groups; and gender-differentiated impacts regarding GCC. Governments, civil society, and for-profit organizations may also need assistance in accessing financing and/or investment that reduces Greenhouse Gas (GHG) emissions or increases the resilience to GCC. Activities to be undertaken include: 1) assessments; 2) economic analysis and modeling; 3) analysis of low-emissions investments; 4) mobilizing finance for clean energy(CE) and low-emissions development strategies (LEDS); 5) data collection, and 6) technical assistance and training. Crown Agents is the Prime Partner. (Direct GCC-Sustainable Landscapes: $1,000,000; Direct GCC-Clean Energy: $1,000,000). The Prime Partner for this activity is Crown Agents-this activity is funded with FY 13 carryover ($2.6 million).",NA,1,Not significant,8399
2015,DAC member,Germany,Germany,5,9,"Federal Min. for the Env., Nature Conservation, Building and Nuclear Safety",2015009715,09_I_117_IND_G_ComSo,India,645,South & Central Asia,LMICs,Concessional and developmental,Principal,Not targeted/Not screened,Principal,0,0,799.22352,882.5768294,0,0,799.22352,882.5768294,10000,Public Sector Institutions,23230,II.3. Energy,Solar energy for centralised grids,C01,Grant,110,COMMERCIALIZATION OF SOLAR ENERGY IN URBAN AND INDUSTRIAL AREAS IN INDIA (COMSOLAR),"Designing business models and preparing a strategy for commercialization of solar energy in urban and industrial areas, which supports the implementation of the Solar Mission of the NAPCC (National Action Plan on Climate Change). Development of pilot- and capacity building activities and implementation in buildings, industry, solar thermal power plants. Recommendations for a regulatory framework for grid connection and feed in tariffs.",NA,1,Not significant,3097
2015,DAC member,Germany,Germany,5,1,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,2015001239,201425040,Mexico,358,Caribbean & Central America,UMICs,Concessional and developmental,Principal,Not targeted/Not screened,Principal,0,0,7764.83638,8574.6534,0,0,7764.83638,8574.6534,10000,Public Sector Institutions,23230,II.3. Energy,Solar energy for centralised grids,C01,Grant,110,ENERGY EFFICIENCY AND RENEWABLE ENERGIES (LARGE SCALE SOLAR ENERGY APPLICATION),"The technological, financial and organisational requirements for the application of solar energy at large scale in Mexico are improved.",NA,1,Not significant,2570
2015,DAC member,United States,United States,302,1,Agency for International Development,2015009476fys,76_38894,Mexico,358,Caribbean & Central America,UMICs,Concessional and developmental,Principal,Significant,Principal,560,0,560,0,560,590.4971837,560,590.4971837,11001,Central Government,41020,IV.1. General Environment Protection,Biosphere protection,D02,Grant,110,ENHANCING CAPACITY FOR LOW EMISSION DEVELOPMENT STRATEGIES - CLEAN PRODUCTIVE ENVIRONMENT,"Enhancing Capacity for Low Emission Development Strategies (EC-LEDS) is a flagship U.S. government effort that assists partner countries in developing and implementing LEDS. The program, which advances the international goals of theU.S. Climate Action Plan, enhances partner country efforts by providing targeted technical assistance and building a shared global knowledge base on LEDS.",NA,1,Not significant,8185
2015,DAC member,United States,United States,302,1,Agency for International Development,2015009476qqe,76_38894,India,645,South & Central Asia,LMICs,Concessional and developmental,Principal,Significant,Principal,700,0,700,0,700,738.1214796,700,738.1214796,11001,Central Government,41020,IV.1. General Environment Protection,Biosphere protection,D02,Grant,110,ENHANCING CAPACITY FOR LOW EMISSION DEVELOPMENT STRATEGIES - CLEAN PRODUCTIVE ENVIRONMENT,"Enhancing Capacity for Low Emission Development Strategies (EC-LEDS) is a flagship U.S. government effort that assists partner countries in developing and implementing LEDS. The program, which advances the international goals of theU.S. Climate Action Plan, enhances partner country efforts by providing targeted technical assistance and building a shared global knowledge base on LEDS.",NA,1,Not significant,8188
2015,DAC member,United States,United States,302,1,Agency for International Development,2015009479cng,76_38898,Mexico,358,Caribbean & Central America,UMICs,Concessional and developmental,Principal,Not targeted/Not screened,Principal,0,0,150,158.1688885,0,0,150,158.1688885,90000,Other,41020,IV.1. General Environment Protection,Biosphere protection,C01,Grant,110,ENHANCING SUSTAINABLE UTILITY REGULATIONS (ENSURE) - CLEAN PRODUCTIVE ENVIRONMENT,"Enhancing Sustainable Utility Regulation (ENSURE) is a Cooperative Agreement withthe United States Agency for International Development.Theprogram creates a means and structure whereby regulators from the developing world can discuss mutual challenges and examine best practices with their counterparts from the U.S.The ENSURE program encompasses a variety of bilateral partnerships, workshops, training, capacity building and other technical development activities to assist regulators from around the world to develop stronger regulatory practices and advance economic development. This NARUC/USAID Cooperative Agreement serves the international regulatory community by offering the ability to interact with counterparts through information and peer-to-peer exchanges between regulatory bodies and associations from around the world and across multiple sectors: energy, water, and telecommunications. In addition to covering basic regulatory principles, NARUC also addresses timely issues such as renewable energy, energy efficiency, and climate change. As the U.S. boasts a history of multi-sector regulators, NARUCs members are ideally suited to discuss complex regulatory practices with foreign regulators from each of the utility sectors.",NA,1,Not significant,8189
2015,DAC member,Germany,Germany,5,1,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,2015127466,201166149,Brazil,431,South America,UMICs,Concessional and developmental,Principal,Not targeted/Not screened,Principal,0,0,25513.03383,28173.86118,0,0,25513.03383,28173.86118,10000,Public Sector Institutions,41040,IV.1. General Environment Protection,Site preservation,C01,Grant,110,ENVIRONMENTAL LAND REGISTRATION (CAR),Support the implementation of environmental legislation in particular as regards compliance or restoration of forest policy for private ownership of land,NA,1,Not significant,3269
