"Year","Provider Type","Provider","Provider (detailed)","Provider Code","Agency Code","Extending Agency","CRS Identification N°","Donor project N°","Recipient","Recipient Code","Recipient Region","Recipient Income Group (OECD Classification)","Concessionality","Climate objective (applies to Rio-marked data only) or climate component","Adaptation objective (applies to Rio-marked data only)","Mitigation objective (applies to Rio-marked data only)","Adaptation-related development finance - Commitment - Current USD thousand","Adaptation-related development finance - Commitment - 2018 USD thousand","Mitigation-related development finance - Commitment - Current USD thousand","Mitigation-related development finance - Commitment - 2018 USD thousand","Overlap - Commitment - Current USD thousand","Overlap - Commitment - 2018 USD thousand","Climate-related development finance - Commitment - Current USD thousand","Climate-related development finance - Commitment - 2018 USD thousand","Channel of Delivery Code","Channel of Delivery","Sub-sector Code","Sector (detailed)","Sub-sector","Type of Aid","Financial Instrument","Type of Finance","Short Description","Description","Coal-related Financing","Share of the underlying commitment, % (when available)","Gender","ID"
2015,"DAC member","Germany","Germany",5,1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2015001649","200922989","Viet Nam",769,"Far East Asia","LMICs","Concessional and developmental","Principal","Principal","Not targeted/Not screened",14.5527,16.0704427534138,0,0,0,0,14.5527,16.0704427534138,10000,"Public Sector Institutions",41030,"IV.1. General Environment Protection","Bio-diversity","C01","Grant",110,"CAPACITY BUILDING FOR COLLABORATIVE MANAGEMENT OF COASTAL WETLANDS IN SOC TRANG","Coastal Wetlands in the province Soc Trang are protected and used in a sustainable manner",NA,1,"Significant",2613
2015,"DAC member","Germany","Germany",5,1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2015006108","201532878","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Not targeted/Not screened",74.32058,82.0716860988346,0,0,0,0,74.32058,82.0716860988346,22000,"Donor country-based NGO",74020,"VIII.3. Disaster Prevention & Preparedness","Multi-hazard response preparedness","C01","Grant",110,"CAPACITY BUILDING FOR COMMUNITY BASED DISASTER RISK REDUCTION AND STRENGTHENING OF FARMER FAMILIES RESILIENCE IN ASSAM AND ODISHA","Förderung von Katastrophenvorsorgemaßnahmen in Assam und Odisha",NA,1,"Significant",2874
2015,"DAC member","Japan","Japan",701,2,"Ministry of Foreign Affairs","2015010334",NA,"Pakistan",665,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Not targeted/Not screened",4041.24549698642,4425.64755110748,0,0,0,0,4041.24549698642,4425.64755110748,12001,"Central Government",74020,"VIII.3. Disaster Prevention & Preparedness","Multi-hazard response preparedness","C01","Grant",110,"STRATEGIC STRENGTHENING OF FLOOD WARNING AND MANAGEMENT CAPACITY (PHASE 2)","Strategic Strengthening of Flood Warning and Management Capacity.",NA,1,"Not significant",4558
2015,"DAC member","Korea","Korea",742,4,"Korea International Cooperation Agency","2015014830","2015140319019","Viet Nam",769,"Far East Asia","LMICs","Concessional and developmental","Principal","Principal","Principal",582.344,0,582.344,0,582.344,627.226591174526,582.344,627.226591174526,51000,"University, college or other teaching institution, research institute or think-tank",11420,"I.1. Education","Higher education","C01","Grant",110,"STRENGTHENING VIETNAMESE EDUCATION CAPACITY ON CLIMATE CHANGE AND SUSTAI","1. To develope climate change education courses and textbooks  2. To develop sustainable development courses and textbooks 3. To establish educational infrastructure 4. To train the faculty",NA,1,"Not significant",5145
2015,"DAC member","United Kingdom","United Kingdom",12,3,"Foreign & Commonwealth Office","2015001489","PPY SEA 1435","Viet Nam",769,"Far East Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,0.423223834988541,0.391827471590142,0,0,0.423223834988541,0.391827471590142,11000,"Donor Government",33110,"III.3.a. Trade Policies & Regulations","Trade policy and administrative management","C01","Grant",110,"STRENGTHENING VIETNAM'S POLICY-MAKING CAPACITY ON  CIVIL NUCLEAR ENERGY DEVELOPMENT","This project aims to assist economic development by providing capacity building and technical assistance to Vietnam's Ministry of Industry & Trade, which is charged with implementing the country's strategy on civil nuclear development.  The project will",NA,1,NA,7333
2015,"DAC member","United Kingdom","United Kingdom",12,3,"Foreign & Commonwealth Office","2015001543","PPY CHN 1420","China (People's Republic of)",730,"Far East Asia","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,1.07104660045837,0.991592265648698,0,0,1.07104660045837,0.991592265648698,51000,"University, college or other teaching institution, research institute or think-tank",23210,"II.3. Energy","Energy generation, renewable sources - multiple technologies","C01","Grant",110,"PROVIDING UK EXPERTISE TO INCREASE THE CAPACITY OF CHINA'S BANKING SECTOR TO TAKE ENVIRONMENTAL ISSUES INTO ACCOUNT WHEN  LENDING.","Chinese banks and regulator will be better able to assess and manage the environmental impacts of lending using UK models, also leading to commercial collaboration opportunities for specialised UK green financial service providers.",NA,1,NA,7338
2015,"DAC member","United Kingdom","United Kingdom",12,3,"Foreign & Commonwealth Office","2015001602","PAM BRB 000094","Brazil",431,"South America","UMICs","Concessional and developmental","Principal","Significant","Principal",1.92818945760122,0,1.92818945760122,0,1.92818945760122,1.78514898608938,1.92818945760122,1.78514898608938,11000,"Donor Government",41010,"IV.1. General Environment Protection","Environmental policy and administrative management","C01","Grant",110,"CAPACITY BUILDING ON CLIMATE CHANGE IMPACTS","A project to build capacity in resilient infrastructure systems and climate change through a visit by Brazil's top climate scientist to meet and collaborate with the head of the UKCIP Centre at Oxford University, and other relevant UK researchers.",NA,1,NA,7346
2015,"DAC member","United Kingdom","United Kingdom",12,3,"Foreign & Commonwealth Office","2015003612","PPY SEA 1436","Viet Nam",769,"Far East Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,54.2750190985485,50.2486905173163,0,0,54.2750190985485,50.2486905173163,11000,"Donor Government",41010,"IV.1. General Environment Protection","Environmental policy and administrative management","C01","Grant",110,"STRENGTHENING VIETNAM'S CAPACITY TO BENCHMARK AND MONITOR ITS GREEN HOUSE GAS EMISSIONS","This project aims to enhance clean energy provision by providing capacity-building and technical support, focussed on the development of Vietnam's national greenhouse gas inventory system, and by deploying UK consultancy expertise in this area.  The proj",NA,1,NA,7518
2015,"Multilateral development bank","WB","International Development Association",905,1,"IDA","2015028939","P155226.IDA57600.crs1","Pakistan",665,"Asia","LMICs","Concessional and developmental","Climate components","Climate components","Climate components",0,0,10135.5,10666.8788921795,NA,0,10135.5,10666.8788921795,12000,"Recipient Government",23220,"II.3. Energy","Hydro-electric power plants","C01","Debt instrument",421,"WATER SECTOR CAPACITY BUILDING AND ADVISORY SERVICES",NA,NA,1,NA,8663
2015,"Multilateral development bank","WB","International Development Association",905,1,"IDA","2015028942","P155226.IDA57600.crs3","Pakistan",665,"Asia","LMICs","Concessional and developmental","Climate components","Climate components","Climate components",0,0,405.42,426.675155687178,NA,0,405.42,426.675155687178,12000,"Recipient Government",14010,"I.4. Water Supply and Sanitation","Water sector policy and administrative management","C01","Debt instrument",421,"WATER SECTOR CAPACITY BUILDING AND ADVISORY SERVICES",NA,NA,0.04,NA,8664
2016,"DAC member","Germany","Germany",5,9,"Federal Min. for the Env., Nature Conservation, Building and Nuclear Safety","2016011532","11_I+002_CHN_G_ETS-C","China (People's Republic of)",730,"Far East Asia","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,2764.56928,3026.69482314588,0,0,2764.56928,3026.69482314588,11003,"Public corporations",41010,"IV.1. General Environment Protection","Environmental policy and administrative management","C01","Grant",110,"CAPACITY BUILDING TO SUPPORT THE ESTABLISHMENT OF A NATIONAL EMISSION TRADING SCHEME (ETS) IN CHINA","The project promotes the reduction of greenhouse gas emissions and fosters the development of a low-carbon economy in China by introducing a national 'cap and trade' emissions trading system (ETS).",NA,1,"Not significant",12194
2016,"DAC member","Korea","Korea",742,4,"Korea International Cooperation Agency","2016003119","2016070367883","Indonesia",738,"Far East Asia","LMICs","Concessional and developmental","Principal","Significant","Principal",5.434,0,5.434,0,5.434,5.88736655212196,5.434,5.88736655212196,11000,"Donor Government",21020,"II.1. Transport & Storage","Road transport","D02","Grant",110,"CAPACITY DEVELOPMENT PROGRAM ON NATIONAL TERRITORIAL POLICY RESPONDING T","National Policy on Climate Change, City Strategy on Climate Change, Urban Resilience, Green Infra Planning, Smart City",NA,1,"Not significant",14530
2016,"DAC member","United Kingdom","United Kingdom",12,1,"Department for International Development","2016000744","203264-104","Pakistan",665,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Not targeted/Not screened",352.271659919028,361.505270929749,0,0,0,0,352.271659919028,361.505270929749,41301,"Food and Agricultural Organisation",99810,"IX. Unallocated / Unspecified","Sectors not specified","C01","Grant",110,"INSTITUTIONAL CAPACITY BUILDING OF GOVERNMENT AGENCIES","To save lives, alleviate human suffering and protect the dignity and rights of populations critically affected by Natural Disaster in DFID Pakistan",NA,1,"Not significant",16926
2017,"Multilateral development bank","AsDB","Asian Development Bank",915,11,"Technical Assistance Special Fund (TASF)","2017002323","TA9318-IND","India",645,"Asia","LMICs","Concessional and developmental","Climate components","Climate components","Climate components",270,281.359516260876,0,0,NA,0,270,281.359516260876,12000,"Recipient Government",43030,"IV.2. Other Multisector","Urban development and management","D02","Grant",110,"CAPACITY DEVELOPMENT OF INSTITUTIONS IN THE URBAN SECTOR OF MADHYA PRADESH","The proposed Project will support government in improved and sustainable urban services to approximately 1.3 million people in selected towns of the State (geographic coverage), improved institutional and financial management capacity of benefitting urban local bodies, and the development and operationalization of the Madhya Pradesh Urban Development Company Limited . The proposed Project will be implemented over 5 years from 2017 through 2022 (time slice).",NA,0.27,"Significant",19069
2017,"DAC member","Canada","Canada",301,9,"Provincial Governments and municipalities","2017040312","MB-224","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Not targeted/Not screened",2.38810569293583,2.43270758632753,0,0,0,0,2.38810569293583,2.43270758632753,22000,"Donor country-based NGO",15170,"I.5. Government & Civil Society","Women's rights organisations and movements, and government institutions","C01","Grant",110,"STRENGTHENING WOMEN'S CAPACITY TO PARTICIPATE IN CIVIL SOCIETY","Strengthening women's capacity to participate in civil society",NA,1,"Principal",20135
2017,"DAC member","Germany","Germany",5,1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2017005737","201730282","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Not targeted/Not screened",304.36253,323.485109642696,0,0,0,0,304.36253,323.485109642696,22000,"Donor country-based NGO",41081,"IV.1. General Environment Protection","Environmental education/training","B01","Grant",110,"EDUCATION AND CAPACITY BUILDING TO PROMOTE UNDERSTANDING OF SUSTAINABLE DEVELOPMENT WITH A FOCUS ON CLIMATE CHANGE IMPACTS IN INDIA","Education and capacity building to promote understanding of sustainable development with a focus on climate change impacts in India",NA,1,"Not significant",23419
2017,"DAC member","Germany","Germany",5,9,"Federal Min. for the Env., Nature Conservation, Building and Nuclear Safety","2017012092","17_I_264_BRA_G_Nachh","Brazil",431,"South America","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,5636.34314,5990.46498472317,0,0,5636.34314,5990.46498472317,11003,"Public corporations",14050,"I.4. Water Supply & Sanitation","Waste management/disposal","C01","Grant",110,"CLIMATE FRIENDLY TECHNOLOGIES AND CAPACITY DEVELOPMENT FOR THE IMPLEMENTATION OF THE BRAZILIAN NATIONAL WASTE POLICY","Although Brazil established a progressive waste policy in 2010, greenhouse gas (GHG) emissions are still increasing in the waste sector. Therefore, the project aims to improve the conditions for the use of the climate protection potential of the waste sector. Climate-relevant criteria (e.g. specific GHG reduction potential) are integrated into regulations of ministries and financing institutions. Employees of the municipalities and the private sector will be trained and decision-making support tools provided for the municipalities so they can project and implement waste management measures (capacity development). The project will support the integration of specific modules for climate-friendly waste management into university courses and the development of a German-Brazilian applied R&D network to contribute to the sustainable establishment of a climate-friendly and innovative waste policy.",NA,1,"Not significant",23966
2017,"DAC member","Japan","Japan",701,2,"Ministry of Foreign Affairs","2017601049","MOFA2017601049","Thailand",764,"Far East Asia","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,83.601897255469,84.8503548303145,0,0,83.601897255469,84.8503548303145,90000,"Other",74020,"VIII.3. Disaster Prevention & Preparedness","Multi-hazard response preparedness","C01","Grant",110,"THE PROJECT FOR DISASTER MANAGEMENT CAPACITY ENHANCEMENT FOR PONGPHA SUB-DISTRICT ADMINISTRATIVE ORGANIZATION IN MAESAI DISTRICT, CHIANGRAI PROVINCE","Procurement of a Fire Engine",NA,1,"Not significant",25823
2017,"DAC member","Korea","Korea",742,4,"Korea International Cooperation Agency","2017079016","2017040150370","Pakistan",665,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Principal",47.761,0,47.761,0,47.761,49.3140829336887,47.761,49.3140829336887,11000,"Donor Government",41082,"IV.1. General Environment Protection","Environmental research","E01","Grant",110,"CAPACITY BUILDING IN ATMOSPHERE SCIENCE (17-19)","KOICA-Hankuk University of Foreign Studies Cooperation Program : Master's Degree Program in Atmospheric Environment",NA,1,"Not significant",26801
2017,"Multilateral development bank","WB","International Bank for Reconstruction and Development",901,1,"IBRD","2017024652","P148775.IBRD87520.crs1","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,375000,390777.105917884,NA,0,375000,390777.105917884,12000,"Recipient Government",21040,"II.1. Transport and Storage","Water transport","C01","Debt instrument",421,"CAPACITY AUGMENTATION OF THE NATIONAL WATERWAY- 1 (JAL MARG VIKAS)  PROJECT",NA,NA,1,NA,30877
2018,"DAC member","Germany","Germany",5,2,"Kreditanstalt für Wiederaufbau","2018142410","301000462","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,236043.9042,236043.9042,0,0,236043.9042,236043.9042,12001,"Central Government",23630,"II.3. Energy","Electric power transmission and distribution (centralised grids)","C01","Debt instrument",421,"HIGH CAPACITY ENERGY TRANSMISSION PROJECT - POWERGRID INDIA","High capacity energy transmission project - Powergrid India",NA,1,"Not significant",37327
2018,"DAC member","Korea","Korea",742,4,"Korea International Cooperation Agency","2017079016","2017040150370","Pakistan",665,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Principal",2.455,0,2.455,0,2.455,2.455,2.455,2.455,11000,"Donor Government",41082,"IV.1. General Environment Protection","Environmental research","E01","Grant",110,"CAPACITY BUILDING IN ATMOSPHERE SCIENCE (17-19)","KOICA-Hankuk University of Foreign Studies Cooperation Program : Master's Degree Program in Atmospheric Environment",NA,1,"Not significant",39355
2018,"DAC member","Korea","Korea",742,4,"Korea International Cooperation Agency","2018123657","2018040154897","Viet Nam",769,"Far East Asia","LMICs","Concessional and developmental","Principal","Principal","Not targeted/Not screened",9.705,9.705,0,0,0,0,9.705,9.705,11000,"Donor Government",22020,"II.2. Communications","Telecommunications","D02","Grant",110,"IMPROVEMENT OF METEOROLOGICAL SATELLITE DATA ANALYSIS AND APPLICATION CAPACITY","Progrma To enhance capabilities to utilize the meteorological satellite data and derived products for monitoring and nowcasting of the high impact weather",NA,1,"Not significant",39409
2018,"DAC member","United Kingdom","United Kingdom",12,11,"Department for Business, Innovation and Skills","2018000306","NERC_IN_NE/P000649/1","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Not targeted/Not screened",299.766680005335,299.766680005335,0,0,0,0,299.766680005335,299.766680005335,51000,"University, college or other teaching institution, research institute or think-tank",41082,"IV.1. General Environment Protection","Environmental research","C01","Grant",110,"THE PRIMARY OBJECTIVE OF THE LEADERS IN INNOVATION FELLOWSHIPS (LIF) PROGRAMME IS TO BUILD THE CAPACITY OF RESEARCHERS FOR ENTREPRENEURSHIP AND COMMER","The programme has four focuses: disaster risk, sub-seasonal to seasonal forecasting, disaster risk monitoring, and the integration of these into practical decision making. The programme is targeting countries across sub-Saharan Africa and south Asia.",NA,1,"Not significant",42685
2015,"DAC member","Germany","Germany",5,7,"Foreign Office","2015007605","6608930","China (People's Republic of)",730,"Far East Asia","UMICs","Concessional and developmental","Principal","Principal","Not targeted/Not screened",11.71573,12.9375970286924,0,0,0,0,11.71573,12.9375970286924,90000,"Other",41010,"IV.1. General Environment Protection","Environmental policy and administrative management","C01","Grant",110,"MAPPING CHINA S CLIMATE POLICY FORMATION","Identify Chinese actors in Climate policy formation on national and subnational level, prospects of next Five Year Plan, monitor implementation of INDC (Intended Nationally Determined Contributions) (according to UNFCCC)",NA,1,"Not significant",3018
2015,"DAC member","United Kingdom","United Kingdom",12,1,"Department for International Development","2015000365","114320-104","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,91.6210847975554,84.8242821710269,0,0,91.6210847975554,84.8242821710269,90000,"Other",23110,"II.3. Energy","Energy policy and administrative management","C01","Grant",110,"RESEARCH STUDY FOR INDIA ROOFTOP SOLAR POLICY - PHASE 2","To provide improved policies and practices for tackling the impacts of climate change and meeting energy needs for poor people in India and to assist think-tanks to develop analysis innovation and lesson learning during Govt. of India's 12th five year pla",NA,1,"Not significant",7152
