"Year","Provider Type","Provider","Provider (detailed)","Provider Code","Agency Code","Extending Agency","CRS Identification N°","Donor project N°","Recipient","Recipient Code","Recipient Region","Recipient Income Group (OECD Classification)","Concessionality","Climate objective (applies to Rio-marked data only) or climate component","Adaptation objective (applies to Rio-marked data only)","Mitigation objective (applies to Rio-marked data only)","Adaptation-related development finance - Commitment - Current USD thousand","Adaptation-related development finance - Commitment - 2018 USD thousand","Mitigation-related development finance - Commitment - Current USD thousand","Mitigation-related development finance - Commitment - 2018 USD thousand","Overlap - Commitment - Current USD thousand","Overlap - Commitment - 2018 USD thousand","Climate-related development finance - Commitment - Current USD thousand","Climate-related development finance - Commitment - 2018 USD thousand","Channel of Delivery Code","Channel of Delivery","Sub-sector Code","Sector (detailed)","Sub-sector","Type of Aid","Financial Instrument","Type of Finance","Short Description","Description","Coal-related Financing","Share of the underlying commitment, % (when available)","Gender","ID"
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003139","LN3140-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,32265,33956.573179041,NA,0,32265,33956.573179041,12000,"Recipient Government",23310,"II.3. Energy","Energy generation, non-renewable sources, unspecified","C01","Debt instrument",421,"ASSAM POWER SECTOR INVESTMENT PROGRAM - TRANCHE 1","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.6453,"Not significant",60
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003200","LN3172-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",2480,2610.02019166347,0,0,NA,0,2480,2610.02019166347,12000,"Recipient Government",14010,"I.4. Water Supply and Sanitation","Water sector policy and administrative management","C01","Debt instrument",421,"KARNATAKA INTEGRATED AND SUSTAINABLE WATER RESOURCES MANAGEMENT INVESTMENT PROGRAM - PROJECT 1","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.4,"Significant",62
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003201","LN3172-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",2480,2610.02019166347,0,0,NA,0,2480,2610.02019166347,12000,"Recipient Government",14015,"I.4. Water Supply and Sanitation","Water resources conservation (including data collection)","C01","Debt instrument",421,"KARNATAKA INTEGRATED AND SUSTAINABLE WATER RESOURCES MANAGEMENT INVESTMENT PROGRAM - PROJECT 1","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.4,"Significant",63
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003202","LN3172-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",7440,7830.06057499039,0,0,NA,0,7440,7830.06057499039,12000,"Recipient Government",31140,"III.1.a. Agriculture","Agricultural water resources","C01","Debt instrument",421,"KARNATAKA INTEGRATED AND SUSTAINABLE WATER RESOURCES MANAGEMENT INVESTMENT PROGRAM - PROJECT 1","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.4,"Significant",64
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003218","LN3183-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,8463.125,8906.82545748865,NA,0,8463.125,8906.82545748865,12000,"Recipient Government",14022,"I.4. Water Supply and Sanitation","Sanitation - large systems","C01","Debt instrument",421,"RAJASTHAN URBAN SECTOR DEVELOPMENT PROGRAM (PROJECT LOAN)","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.1231,"Significant",66
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003219","LN3183-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,10771.25,11335.9596731674,NA,0,10771.25,11335.9596731674,12000,"Recipient Government",14031,"I.4. Water Supply and Sanitation","Basic drinking water supply","C01","Debt instrument",421,"RAJASTHAN URBAN SECTOR DEVELOPMENT PROGRAM (PROJECT LOAN)","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.1231,"Significant",67
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003220","LN3183-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,1538.75,1619.42281045248,NA,0,1538.75,1619.42281045248,12000,"Recipient Government",14032,"I.4. Water Supply and Sanitation","Basic sanitation","C01","Debt instrument",421,"RAJASTHAN URBAN SECTOR DEVELOPMENT PROGRAM (PROJECT LOAN)","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.1231,"Significant",68
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003221","LN3183-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,10001.875,10526.2482679411,NA,0,10001.875,10526.2482679411,12000,"Recipient Government",43030,"IV.2. Other Multisector","Urban development and management","C01","Debt instrument",421,"RAJASTHAN URBAN SECTOR DEVELOPMENT PROGRAM (PROJECT LOAN)","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.1231,"Significant",69
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003223","LN3186-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,2e+05,210485.499327699,NA,0,2e+05,210485.499327699,12000,"Recipient Government",24030,"II.4. Banking and Financial Services","Formal sector financial intermediaries","C01","Debt instrument",421,"CLEAN ENERGY FINANCE INVESTMENT PROGRAM - TRANCHE 1","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,1,"Not significant",70
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003226","LN3189-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",2415,2541.61240438196,0,0,NA,0,2415,2541.61240438196,12000,"Recipient Government",21020,"II.1. Transport and Storage","Road transport","C01","Debt instrument",421,"MADHYA PRADESH DISTRICT CONNECTIVITY SECTOR","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.0069,"Not significant",71
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003263","LN3211-PRC","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,2058,2165.89578808202,NA,0,2058,2165.89578808202,12000,"Recipient Government",14031,"I.4. Water Supply and Sanitation","Basic drinking water supply","C01","Debt instrument",421,"JILIN URBAN DEVELOPMENT","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.0588,"Significant",73
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003264","LN3211-PRC","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,1470,1547.06842005859,NA,0,1470,1547.06842005859,12000,"Recipient Government",14050,"I.4. Water Supply and Sanitation","Waste management/disposal","C01","Debt instrument",421,"JILIN URBAN DEVELOPMENT","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.0588,"Significant",74
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003265","LN3211-PRC","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,3528,3712.96420814061,NA,0,3528,3712.96420814061,12000,"Recipient Government",21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"JILIN URBAN DEVELOPMENT","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.0588,"Significant",75
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003266","LN3211-PRC","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,1764,1856.4821040703,NA,0,1764,1856.4821040703,12000,"Recipient Government",43030,"IV.2. Other Multisector","Urban development and management","C01","Debt instrument",421,"JILIN URBAN DEVELOPMENT","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.0588,"Significant",76
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003271","LN3216-PRC","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,2712,2854.1833708836,NA,0,2712,2854.1833708836,12000,"Recipient Government",21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"JIANGXI JI'AN SUSTAINABLE URBAN TRANSPORT","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.0226,"Significant",77
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003275","LN3218-PRC","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,64260,67628.9909339896,NA,0,64260,67628.9909339896,12000,"Recipient Government",23620,"II.3. Energy","District heating and cooling","C01","Debt instrument",421,"LOW-CARBON DISTRICT HEATING IN HOHHOT IN INNER MONGOLIA AUTONOMOUS REGION","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.4284,"Not significant",78
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003276","LN3219-THA","Thailand",764,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,53000,55778.6573218402,NA,0,53000,55778.6573218402,62009,"Other non-financial corporations",23240,"II.3. Energy","Wind energy","C01","Equity and shares in collective investment vehicles",510,"CHAIYAPHUM WIND FARM CO. LTD.","Description :. Product Type: LOCAL CURRENCY LOAN",NA,1,"Not significant",79
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003321","LN3252-PAK","Pakistan",665,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,65000,68407.7872815021,NA,0,65000,68407.7872815021,62009,"Other non-financial corporations",23220,"II.3. Energy","Hydro-electric power plants","C01","Equity and shares in collective investment vehicles",510,"MIRA POWER LIMITED","Description :. Product Type: LIBOR-BASED LOAN",NA,1,NA,85
