"","Recipient","DonorName","flow_type","year","Value"
"10","Brazil","Australia","Commitments",2015,0.003749
"43","Indonesia","Australia","Commitments",2015,1.350244
"44","Indonesia","Australia","Commitments",2015,0.086603
"45","Indonesia","Australia","Commitments",2015,2.254114
"52","Indonesia","Australia","Commitments",2015,1.098294
"54","Indonesia","Australia","Commitments",2015,7.263258
"56","Indonesia","Australia","Commitments",2015,24.495386
"85","Philippines","Australia","Commitments",2015,0.004275
"86","Philippines","Australia","Commitments",2015,0.096048
"94","Philippines","Australia","Commitments",2015,0.290466
"96","Philippines","Australia","Commitments",2015,0.200368
"108","South Africa","Australia","Commitments",2015,0.026268
"113","Thailand","Australia","Commitments",2015,0.004275
"114","Thailand","Australia","Commitments",2015,0.086603
"127","Vietnam","Australia","Commitments",2015,0.846262
"136","Vietnam","Australia","Commitments",2015,0.007506
"166","China","Canada","Commitments",2015,1.253602
"176","India","Canada","Commitments",2015,0.067793
"183","Indonesia","Canada","Commitments",2015,5.945396
"185","Indonesia","Canada","Commitments",2015,2.972698
"192","Indonesia","Canada","Commitments",2015,13.822882
"195","Indonesia","Canada","Commitments",2015,1.035492
"206","Mexico","Canada","Commitments",2015,0.51563
"222","Pakistan","Canada","Commitments",2015,0.003911
"237","Philippines","Canada","Commitments",2015,0.022428
"241","South Africa","Canada","Commitments",2015,0.004694
"251","South Africa","Canada","Commitments",2015,0.037964
"279","Vietnam","Canada","Commitments",2015,0.016819
"280","Vietnam","Canada","Commitments",2015,0.002574
"334","Indonesia","Denmark","Commitments",2015,1.288893
"339","Mexico","Denmark","Commitments",2015,0.003881
"341","Mexico","Denmark","Commitments",2015,0.030129
"390","South Africa","Denmark","Commitments",2015,0.001508
"418","Vietnam","Denmark","Commitments",2015,0.014481
"432","Brazil","France","Commitments",2015,0.002219
"433","Brazil","France","Commitments",2015,0.099834
"434","Brazil","France","Commitments",2015,0.554631
"447","China","France","Commitments",2015,0.003328
"448","China","France","Commitments",2015,0.107532
"451","India","France","Commitments",2015,55.463117
"459","India","France","Commitments",2015,0.122019
"462","India","France","Commitments",2015,0.016639
"463","Indonesia","France","Commitments",2015,0.001109
"465","Indonesia","France","Commitments",2015,155.296728
"466","Indonesia","France","Commitments",2015,0.554631
"474","Indonesia","France","Commitments",2015,0.008874
"475","Indonesia","France","Commitments",2015,0.043261
"479","Mexico","France","Commitments",2015,0.554631
"490","Mexico","France","Commitments",2015,0.003328
"532","South Africa","France","Commitments",2015,121.633944
"544","Thailand","France","Commitments",2015,22.185247
"558","Vietnam","France","Commitments",2015,22.194909
"559","Vietnam","France","Commitments",2015,0.082585
"561","Brazil","Germany","Commitments",2015,293.954553
"563","Brazil","Germany","Commitments",2015,9.42873
"564","Brazil","Germany","Commitments",2015,0.183803
"569","Brazil","Germany","Commitments",2015,0.070853
"572","Brazil","Germany","Commitments",2015,1.158069
"574","Brazil","Germany","Commitments",2015,0.277316
"575","China","Germany","Commitments",2015,3.898712
"577","China","Germany","Commitments",2015,0.04437
"578","China","Germany","Commitments",2015,0.025793
"580","China","Germany","Commitments",2015,3.895931
"583","China","Germany","Commitments",2015,0.421285
"585","China","Germany","Commitments",2015,0.000998
"586","China","Germany","Commitments",2015,0.466376
"587","China","Germany","Commitments",2015,0.915142
"588","China","Germany","Commitments",2015,0.008319
"589","India","Germany","Commitments",2015,2.606767
"593","India","Germany","Commitments",2015,0.210289
"597","India","Germany","Commitments",2015,0.046789
"599","India","Germany","Commitments",2015,0.001553
"600","India","Germany","Commitments",2015,41.085366
"601","India","Germany","Commitments",2015,0.871881
"602","India","Germany","Commitments",2015,0.116473
"603","Indonesia","Germany","Commitments",2015,1.907931
"605","Indonesia","Germany","Commitments",2015,207.550676
"606","Indonesia","Germany","Commitments",2015,0.05574
"607","Indonesia","Germany","Commitments",2015,0.066556
"611","Indonesia","Germany","Commitments",2015,0.207686
"614","Indonesia","Germany","Commitments",2015,0.166389
"615","Indonesia","Germany","Commitments",2015,0.02041
"619","Mexico","Germany","Commitments",2015,0.915886
"621","Mexico","Germany","Commitments",2015,0.018723
"628","Mexico","Germany","Commitments",2015,0.167007
"656","Philippines","Germany","Commitments",2015,5.546312
"658","Philippines","Germany","Commitments",2015,0.266223
"662","South Africa","Germany","Commitments",2015,0.05269
"667","South Africa","Germany","Commitments",2015,0.662058
"668","South Africa","Germany","Commitments",2015,1.155208
"670","South Africa","Germany","Commitments",2015,1.045728
"671","South Africa","Germany","Commitments",2015,0.554631
"672","South Africa","Germany","Commitments",2015,5.546312
"676","Thailand","Germany","Commitments",2015,0.138514
"684","Thailand","Germany","Commitments",2015,5.135885
"689","Vietnam","Germany","Commitments",2015,3.327787
"690","Vietnam","Germany","Commitments",2015,0.05269
"696","Vietnam","Germany","Commitments",2015,0.314076
