"Year","Provider Type","Provider","Provider (detailed)","Provider Code","Agency Code","Extending Agency","CRS Identification N°","Donor project N°","Recipient","Recipient Code","Recipient Region","Recipient Income Group (OECD Classification)","Concessionality","Climate objective (applies to Rio-marked data only) or climate component","Adaptation objective (applies to Rio-marked data only)","Mitigation objective (applies to Rio-marked data only)","Adaptation-related development finance - Commitment - Current USD thousand","Adaptation-related development finance - Commitment - 2019 USD thousand","Mitigation-related development finance - Commitment - Current USD thousand","Mitigation-related development finance - Commitment - 2019 USD thousand","Overlap - Commitment - Current USD thousand","Overlap - Commitment - 2019 USD thousand","Climate-related development finance - Commitment - Current USD thousand","Climate-related development finance - Commitment - 2019 USD thousand","Channel of Delivery Code","Channel of Delivery","Purpose Code","Sector (detailed)","Sub-sector","Development Cooperation Modality","Financial Instrument","Type of Finance","Project Title","Description","Coal-related Financing","Share of the underlying commitment, % (when available)","Gender","ID"
2019,"DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation",2014005616,"7F-09012.02.01","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Principal",1448.98369893339,1448.98369893339,1448.98369893339,1448.98369893339,1448.98369893339,1448.98369893339,1448.98369893339,1448.98369893339,61000,"Private sector in provider country",23110,"II.3. Energy","Energy policy and administrative management","C01","Grant",110,"CAPACITY BUILDING FOR LOW CARBON AND CLIMATE RESILIENT CITY DEVELOPMENT IN INDIA (CAPACITIES)","India is rapidly urbanizing. The growing Indian cities are affected by climate change but are also important emitters of greenhouse gases. Phase 2 of CapaCITIES aims at enabling climate responsive urban planning in eight cities and two states. Swiss expertise in waste management, transport, water and climate finance will support development of solutions for low-carbon and climate resilient cities. The results of the project in India will be shared through global reporting mechanisms and city coalitions.",NA,1,"Not targeted",14306
2019,"DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation",2014005616,"7F-09012.02.01","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Principal",2414.97283155564,2414.97283155564,2414.97283155564,2414.97283155564,2414.97283155564,2414.97283155564,2414.97283155564,2414.97283155564,61000,"Private sector in provider country",23183,"II.3. Energy","Energy conservation and demand-side efficiency","C01","Grant",110,"CAPACITY BUILDING FOR LOW CARBON AND CLIMATE RESILIENT CITY DEVELOPMENT IN INDIA (CAPACITIES)","India is rapidly urbanizing. The growing Indian cities are affected by climate change but are also important emitters of greenhouse gases. Phase 2 of CapaCITIES aims at enabling climate responsive urban planning in eight cities and two states. Swiss expertise in waste management, transport, water and climate finance will support development of solutions for low-carbon and climate resilient cities. The results of the project in India will be shared through global reporting mechanisms and city coalitions.",NA,1,"Not targeted",14307
2019,"DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation",2014005650,"7F-09012.02.02","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Principal",18.1122962366673,18.1122962366673,18.1122962366673,18.1122962366673,18.1122962366673,18.1122962366673,18.1122962366673,18.1122962366673,61000,"Private sector in provider country",23110,"II.3. Energy","Energy policy and administrative management","C01","Grant",110,"CAPACITY BUILDING FOR LOW CARBON AND CLIMATE RESILIENT CITY DEVELOPMENT IN INDIA (CAPACITIES)","India is rapidly urbanizing. The growing Indian cities are affected by climate change but are also important emitters of greenhouse gases. Phase 2 of CapaCITIES aims at enabling climate responsive urban planning in eight cities and two states. Swiss expertise in waste management, transport, water and climate finance will support development of solutions for low-carbon and climate resilient cities. The results of the project in India will be shared through global reporting mechanisms and city coalitions.",NA,1,"Not targeted",14309
2019,"DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation",2014005650,"7F-09012.02.02","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Principal",30.1871603944456,30.1871603944456,30.1871603944456,30.1871603944456,30.1871603944456,30.1871603944456,30.1871603944456,30.1871603944456,61000,"Private sector in provider country",23183,"II.3. Energy","Energy conservation and demand-side efficiency","C01","Grant",110,"CAPACITY BUILDING FOR LOW CARBON AND CLIMATE RESILIENT CITY DEVELOPMENT IN INDIA (CAPACITIES)","India is rapidly urbanizing. The growing Indian cities are affected by climate change but are also important emitters of greenhouse gases. Phase 2 of CapaCITIES aims at enabling climate responsive urban planning in eight cities and two states. Swiss expertise in waste management, transport, water and climate finance will support development of solutions for low-carbon and climate resilient cities. The results of the project in India will be shared through global reporting mechanisms and city coalitions.",NA,1,"Not targeted",14310
2019,"DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation",2014005651,"7F-09012.02.03","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Principal",20.124773596297,20.124773596297,20.124773596297,20.124773596297,20.124773596297,20.124773596297,20.124773596297,20.124773596297,61000,"Private sector in provider country",23183,"II.3. Energy","Energy conservation and demand-side efficiency","C01","Grant",110,"CAPACITY BUILDING FOR LOW CARBON AND CLIMATE RESILIENT CITY DEVELOPMENT IN INDIA (CAPACITIES)","India is rapidly urbanizing. The growing Indian cities are affected by climate change but are also important emitters of greenhouse gases. Phase 2 of CapaCITIES aims at enabling climate responsive urban planning in eight cities and two states. Swiss expertise in waste management, transport, water and climate finance will support development of solutions for low-carbon and climate resilient cities. The results of the project in India will be shared through global reporting mechanisms and city coalitions.",NA,1,"Not targeted",14311
2019,"DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation",2014005651,"7F-09012.02.03","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Principal",12.0748641577782,12.0748641577782,12.0748641577782,12.0748641577782,12.0748641577782,12.0748641577782,12.0748641577782,12.0748641577782,61000,"Private sector in provider country",23110,"II.3. Energy","Energy policy and administrative management","C01","Grant",110,"CAPACITY BUILDING FOR LOW CARBON AND CLIMATE RESILIENT CITY DEVELOPMENT IN INDIA (CAPACITIES)","India is rapidly urbanizing. The growing Indian cities are affected by climate change but are also important emitters of greenhouse gases. Phase 2 of CapaCITIES aims at enabling climate responsive urban planning in eight cities and two states. Swiss expertise in waste management, transport, water and climate finance will support development of solutions for low-carbon and climate resilient cities. The results of the project in India will be shared through global reporting mechanisms and city coalitions.",NA,1,"Not targeted",14313
2019,"DAC member","United Kingdom","United Kingdom",12,13,"Prosperity Fund",2019005860,"GB-GOV-3-PF-CHP-924006","China (People's Republic of)",730,"Far East Asia","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,44.5507912200102,44.5507912200102,0,0,44.5507912200102,44.5507912200102,11001,"Central Government",23110,"II.3. Energy","Energy policy and administrative management","C01","Grant",110,"MAPPING CHINA'S CLIMATE POLICIES (4TH EDITION) TO INCREASE AWARENESS AND CAPACITY OF CHINESE OFFICIALS TO DEVELOP MORE AMBITIOUS CLIMATE POLICIES","This project is designed to update climate governance mapping to reflect the reorganisation of government agency responsibilities for national climate policy in China. It is part of the multi-year Energy and Low Carbon programme and focuses on enhancing China's engagement with international energy and climate governance structures. The project will increase capacity of Chinese officials to develop more ambitious climate policies and support accelerating China's energy transition to a sustainable, low carbon economy. This will also generate opportunities for international business in the Energy and Low Carbon sector, bringing potential benefits to UK business where they are well placed to compete.",NA,1,"Not targeted",17067
2019,"DAC member","Canada","Canada",301,2,"International Development Research Centre",20190093116,"109311","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Principal","Significant",1.99804069329314,1.99804069329314,1.99804069329314,1.99804069329314,1.99804069329314,1.99804069329314,1.99804069329314,1.99804069329314,11000,"Donor Government",41010,"IV.1. General Environment Protection","Environmental policy and administrative management","C01","Grant",110,"CLIMATE AND RESILIENCE - OPERATING COSTS FOR CAPACITY BUILDING","This project will support the Climate and Resilience partnership by covering the operational costs, including salaries and benefits, office costs, and travel of IDRC staff. Separate project approval documents will authorize the execution of individual research projects and activities related to program governance, communication, and evaluation.The Climate and Resilience transition fund is a partnership between IDRC and the UK Department for International Development. It represents a joint investment of CA$7.1 million over two years aimed at scaling, uptake, and impact of climate research, as well as designing the next generation of research needed to accelerate adaptation and catalyze climate action in the Global South.",NA,1,"Significant",2362
2019,"DAC member","Korea","Korea",742,4,"Korea International Cooperation Agency",2019157771,"2019040104162","Indonesia",738,"Far East Asia","LMICs","Concessional and developmental","Principal","Principal","Principal",18.188,18.188,18.188,18.188,18.188,18.188,18.188,18.188,11000,"Donor Government",41010,"IV.1. General Environment Protection","Environmental policy and administrative management","D02","Grant",110,"CAPACITY BUILDING FOR MAINTENANCE OF METEOROLOGICAL INSTRUMENTS AND EARLY WARNING SYSTEM","Improving the ability to prepare for natural disasters due to climate change by strengthening the utilization and management of weather equipment in developing countries",NA,1,"Not targeted",12252
2019,"DAC member","Korea","Korea",742,99,"Miscellaneous",2019162880,"201918066151","Indonesia",738,"Far East Asia","LMICs","Concessional and developmental","Principal","Principal","Principal",171.631,171.631,171.631,171.631,171.631,171.631,171.631,171.631,11003,"Public corporations",23183,"II.3. Energy","Energy conservation and demand-side efficiency","D02","Grant",110,"CLIMATE CHANGE RESPONSE PROGRAM(REGIONAL POLICY CONSULTING PROJECT(INDONESIA))","Climate Change Response Program(Regional Policy Consulting Project(Indonesia))",NA,1,"Not targeted",12282
2019,"DAC member","United Kingdom","United Kingdom",12,13,"Prosperity Fund",2019005904,"GB-GOV-3-PF-INJ-922001","Indonesia",738,"Far East Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,12.3654798366514,12.3654798366514,0,0,12.3654798366514,12.3654798366514,11000,"Donor Government",23210,"II.3. Energy","Energy generation, renewable sources - multiple technologies","C01","Grant",110,"INDONESIA RENEWABLE ENERGY PROGRAMME – POLICY PILLAR","Support to the Policy pillar of the Indonesia Renewable Energy Programme. This programme will deliver poverty reduction, economic development, and gender equality and social inclusion by developing the renewable energy sector to best support poor communities, with a focus on eastern Indonesia which has the poorest provinces of Indonesia. As a secondary benefit, it will create commercial opportunities for international business, including British business, in the renewable energy sector.",NA,1,"Significant",17069
2019,"DAC member","Germany","Germany",5,9,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",2019013497,"13_I+026_IND_G_NAMAs","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,792.23678,792.23678,0,0,792.23678,792.23678,11003,"Public corporations",41010,"IV.1. General Environment Protection","Environmental policy and administrative management","C01","Grant",110,"SUPPORT OF NAMA (NATIONALLY APPROPRIATE MITIGATION ACTION) AND MEASUREMENT, REPORTING AND VERIFICATION DEVELOPMENT AS PART OF INDIAN CLIMATE POLICY","The Indian government launched the use of Nationally Appropriate Mitigation Actions (NAMAs) as a way to reduce greenhouse gases. Consultancy and advice is given/ offered through the Indian Ministry of Environment Coordination Office.",NA,1,"Not targeted",8211
2019,"Other multilateral","GCF","Green Climate Fund",1016,3,"Division of Mitigation and Adaptation",2019000058,"FP082","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Principal","Climate components","Climate components",0,0,15000,15000,NA,NA,15000,15000,46004,"Asian Development Bank",21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"CATALYZING CLIMATE FINANCE (SHANDONG GREEN DEVELOPMENT FUND)","Catalyzing Climate Finance (Shandong Green Development Fund)",0,0.75,"Significant",6409
2019,"Other multilateral","GCF","Green Climate Fund",1016,3,"Division of Mitigation and Adaptation",2019000058,"FP082","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Principal","Climate components","Climate components",5000,5000,0,0,NA,NA,5000,5000,46004,"Asian Development Bank",21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"CATALYZING CLIMATE FINANCE (SHANDONG GREEN DEVELOPMENT FUND)","Catalyzing Climate Finance (Shandong Green Development Fund)",0,0.25,"Significant",6410
