"Year","Provider Type","Provider","Provider (detailed)","Provider Code","Agency Code","Extending Agency","CRS Identification N°","Donor project N°","Recipient","Recipient Code","Recipient Region","Recipient Income Group (OECD Classification)","Concessionality","Climate objective (applies to Rio-marked data only) or climate component","Adaptation objective (applies to Rio-marked data only)","Mitigation objective (applies to Rio-marked data only)","Adaptation-related development finance - Commitment - Current USD thousand","Adaptation-related development finance - Commitment - 2018 USD thousand","Mitigation-related development finance - Commitment - Current USD thousand","Mitigation-related development finance - Commitment - 2018 USD thousand","Overlap - Commitment - Current USD thousand","Overlap - Commitment - 2018 USD thousand","Climate-related development finance - Commitment - Current USD thousand","Climate-related development finance - Commitment - 2018 USD thousand","Channel of Delivery Code","Channel of Delivery","Sub-sector Code","Sector (detailed)","Sub-sector","Type of Aid","Financial Instrument","Type of Finance","Short Description","Description","Coal-related Financing","Share of the underlying commitment, % (when available)","Gender","ID"
2016,"DAC member","Korea","Korea",742,4,"Korea International Cooperation Agency","2016003119","2016070367883","Indonesia",738,"Far East Asia","LMICs","Concessional and developmental","Principal","Significant","Principal",5.434,0,5.434,0,5.434,5.88736655212196,5.434,5.88736655212196,11000,"Donor Government",21020,"II.1. Transport & Storage","Road transport","D02","Grant",110,"CAPACITY DEVELOPMENT PROGRAM ON NATIONAL TERRITORIAL POLICY RESPONDING T","National Policy on Climate Change, City Strategy on Climate Change, Urban Resilience, Green Infra Planning, Smart City",NA,1,"Not significant",14530
2017,"Multilateral development bank","WB","International Bank for Reconstruction and Development",901,1,"IBRD","2017024652","P148775.IBRD87520.crs1","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,375000,390777.105917884,NA,0,375000,390777.105917884,12000,"Recipient Government",21040,"II.1. Transport and Storage","Water transport","C01","Debt instrument",421,"CAPACITY AUGMENTATION OF THE NATIONAL WATERWAY- 1 (JAL MARG VIKAS)  PROJECT",NA,NA,1,NA,30877
2015,"DAC member","United Kingdom","United Kingdom",12,3,"Foreign & Commonwealth Office","2015001543","PPY CHN 1420","China (People's Republic of)",730,"Far East Asia","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,1.07104660045837,0.991592265648698,0,0,1.07104660045837,0.991592265648698,51000,"University, college or other teaching institution, research institute or think-tank",23210,"II.3. Energy","Energy generation, renewable sources - multiple technologies","C01","Grant",110,"PROVIDING UK EXPERTISE TO INCREASE THE CAPACITY OF CHINA'S BANKING SECTOR TO TAKE ENVIRONMENTAL ISSUES INTO ACCOUNT WHEN  LENDING.","Chinese banks and regulator will be better able to assess and manage the environmental impacts of lending using UK models, also leading to commercial collaboration opportunities for specialised UK green financial service providers.",NA,1,NA,7338
2015,"Multilateral development bank","WB","International Development Association",905,1,"IDA","2015028939","P155226.IDA57600.crs1","Pakistan",665,"Asia","LMICs","Concessional and developmental","Climate components","Climate components","Climate components",0,0,10135.5,10666.8788921795,NA,0,10135.5,10666.8788921795,12000,"Recipient Government",23220,"II.3. Energy","Hydro-electric power plants","C01","Debt instrument",421,"WATER SECTOR CAPACITY BUILDING AND ADVISORY SERVICES",NA,NA,1,NA,8663
2018,"DAC member","Germany","Germany",5,2,"Kreditanstalt für Wiederaufbau","2018142410","301000462","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,236043.9042,236043.9042,0,0,236043.9042,236043.9042,12001,"Central Government",23630,"II.3. Energy","Electric power transmission and distribution (centralised grids)","C01","Debt instrument",421,"HIGH CAPACITY ENERGY TRANSMISSION PROJECT - POWERGRID INDIA","High capacity energy transmission project - Powergrid India",NA,1,"Not significant",37327
2015,"DAC member","Germany","Germany",5,1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2015001649","200922989","Viet Nam",769,"Far East Asia","LMICs","Concessional and developmental","Principal","Principal","Not targeted/Not screened",14.5527,16.0704427534138,0,0,0,0,14.5527,16.0704427534138,10000,"Public Sector Institutions",41030,"IV.1. General Environment Protection","Bio-diversity","C01","Grant",110,"CAPACITY BUILDING FOR COLLABORATIVE MANAGEMENT OF COASTAL WETLANDS IN SOC TRANG","Coastal Wetlands in the province Soc Trang are protected and used in a sustainable manner",NA,1,"Significant",2613
2015,"DAC member","United Kingdom","United Kingdom",12,3,"Foreign & Commonwealth Office","2015001602","PAM BRB 000094","Brazil",431,"South America","UMICs","Concessional and developmental","Principal","Significant","Principal",1.92818945760122,0,1.92818945760122,0,1.92818945760122,1.78514898608938,1.92818945760122,1.78514898608938,11000,"Donor Government",41010,"IV.1. General Environment Protection","Environmental policy and administrative management","C01","Grant",110,"CAPACITY BUILDING ON CLIMATE CHANGE IMPACTS","A project to build capacity in resilient infrastructure systems and climate change through a visit by Brazil's top climate scientist to meet and collaborate with the head of the UKCIP Centre at Oxford University, and other relevant UK researchers.",NA,1,NA,7346
2015,"DAC member","United Kingdom","United Kingdom",12,3,"Foreign & Commonwealth Office","2015003612","PPY SEA 1436","Viet Nam",769,"Far East Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,54.2750190985485,50.2486905173163,0,0,54.2750190985485,50.2486905173163,11000,"Donor Government",41010,"IV.1. General Environment Protection","Environmental policy and administrative management","C01","Grant",110,"STRENGTHENING VIETNAM'S CAPACITY TO BENCHMARK AND MONITOR ITS GREEN HOUSE GAS EMISSIONS","This project aims to enhance clean energy provision by providing capacity-building and technical support, focussed on the development of Vietnam's national greenhouse gas inventory system, and by deploying UK consultancy expertise in this area.  The proj",NA,1,NA,7518
2015,"DAC member","United States","United States",302,1,"Agency for International Development","2015012072","76_45341","Indonesia",738,"Far East Asia","LMICs","Concessional and developmental","Principal","Principal","Not targeted/Not screened",524.566,553.133474359526,0,0,0,0,524.566,553.133474359526,51000,"University, college or other teaching institution, research institute or think-tank",41020,"IV.1. General Environment Protection","Biosphere protection","C01","Grant",110,"UP: STRENGTHENING INDONESIA CLIMATE CHANGE MITIGATION CAPACITY - CLEAN PRODUCTIVE ENVIRONMENT","UP: Strengthening Indonesia Climate Change Mitigation Capacity",NA,1,"Not significant",7895
2015,"DAC member","United States","United States",302,1,"Agency for International Development","2015014628","76_48621","Viet Nam",769,"Far East Asia","LMICs","Concessional and developmental","Principal","Principal","Principal",350,0,350,0,350,369.060739784573,350,369.060739784573,22000,"Donor country-based NGO",41020,"IV.1. General Environment Protection","Biosphere protection","C01","Grant",110,"PARTNER CAPACITY DEVELOPMENT (PCD) PROGRAM - CLEAN PRODUCTIVE ENVIRONMENT","The Partner Capacity Development (PCD) Program will build institutional capacity of Vietnamese agencies, organizations and individuals in a wide range of issues that USAID is working on, including economic growth and inclusion, private sector partnerships and innovation, HIV/AIDS, climate change and disaster risk reduction, disability and vulnerable populations, avian and pandemic influenza, education, and environmental remediation.",NA,1,"Not significant",8074
