"Year","Provider Type","Provider","Provider (detailed)","Provider Code","Agency Code","Extending Agency","CRS Identification N°","Donor project N°","Recipient","Recipient Code","Recipient Region","Recipient Income Group (OECD Classification)","Concessionality","Climate objective (applies to Rio-marked data only) or climate component","Adaptation objective (applies to Rio-marked data only)","Mitigation objective (applies to Rio-marked data only)","Adaptation-related development finance - Commitment - Current USD thousand","Adaptation-related development finance - Commitment - 2018 USD thousand","Mitigation-related development finance - Commitment - Current USD thousand","Mitigation-related development finance - Commitment - 2018 USD thousand","Overlap - Commitment - Current USD thousand","Overlap - Commitment - 2018 USD thousand","Climate-related development finance - Commitment - Current USD thousand","Climate-related development finance - Commitment - 2018 USD thousand","Channel of Delivery Code","Channel of Delivery","Sub-sector Code","Sector (detailed)","Sub-sector","Type of Aid","Financial Instrument","Type of Finance","Short Description","Description","Coal-related Financing","Share of the underlying commitment, % (when available)","Gender","ID"
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003226","LN3189-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",2415,2541.61240438196,0,0,NA,0,2415,2541.61240438196,12000,"Recipient Government",21020,"II.1. Transport and Storage","Road transport","C01","Debt instrument",421,"MADHYA PRADESH DISTRICT CONNECTIVITY SECTOR","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.0069,"Not significant",71
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003265","LN3211-PRC","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,3528,3712.96420814061,NA,0,3528,3712.96420814061,12000,"Recipient Government",21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"JILIN URBAN DEVELOPMENT","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.0588,"Significant",75
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003271","LN3216-PRC","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,2712,2854.1833708836,NA,0,2712,2854.1833708836,12000,"Recipient Government",21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"JIANGXI JI'AN SUSTAINABLE URBAN TRANSPORT","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.0226,"Significant",77
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003341","LN3262-PRC","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,6476.25,6815.78357510505,NA,0,6476.25,6815.78357510505,12000,"Recipient Government",21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"XINJIANG AKESU INTEGRATED URBAN DEVELOPMENT AND ENVIRONMENT IMPROVEMENT","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.1727,"Significant",88
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003344","LN3263-PRC","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,9176.25,9657.33781602898,NA,0,9176.25,9657.33781602898,12000,"Recipient Government",21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"XINJIANG TACHENG BORDER CITIES AND COUNTIES DEVELOPMENT","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.2447,"Significant",91
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003408","LN3306-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",28255.5,29736.865131269,0,0,NA,0,28255.5,29736.865131269,12000,"Recipient Government",21020,"II.1. Transport and Storage","Road transport","C01","Debt instrument",421,"RURAL CONNECTIVITY INVESTMENT PROGRAM – TRANCHE 3","Description :. Product Type: Product Type: LIBOR BASED LOAN",NA,0.1035,"Significant",106
2015,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2015003299-6","LN3235-VIE","Viet Nam",769,"Asia","LMICs","Concessional and developmental","Climate components","Climate components","Climate components",0,0,2070.18,2178.71435499108,NA,0,2070.18,2178.71435499108,12000,"Recipient Government",21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"STRENGTHENING SUSTAINABLE URBAN TRANSPORTFOR HA NOI METRO LINE 3","Description :. Product Type: NEW ADF",NA,0.4929,"Significant",119
2015,"DAC member","France","France",4,3,"French Development Agency","2015113400","CPH100702","Philippines",755,"Far East Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,56454.7975596229,61134.0198960765,0,0,56454.7975596229,61134.0198960765,12001,"Central Government",21030,"II.1. Transport & Storage","Rail transport","C01","Debt instrument",421,"RBT ET AMELIORATION DU SYSTEME DE TRANS","BRT Cebu",NA,1,"Not significant",2179
2015,"DAC member","France","France",4,3,"French Development Agency","2015128100","CIN106201","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,221852.468108708,240240.578048794,0,0,221852.468108708,240240.578048794,12001,"Central Government",21030,"II.1. Transport & Storage","Rail transport","C01","Debt instrument",421,"EXTENSION DES 2 LIGNES DU MÉTRO BANGALOR","Financement de la phase 2 du métro de Bangalore",NA,1,"Not significant",2211
2015,"DAC member","Germany","Germany",5,9,"Federal Min. for the Env., Nature Conservation, Building and Nuclear Safety","2015009719","10_I_140_CHN_G_Trans","China (People's Republic of)",730,"Far East Asia","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,16.29348,17.9927736841887,0,0,16.29348,17.9927736841887,10000,"Public Sector Institutions",21010,"II.1. Transport & Storage","Transport policy and administrative management","C01","Grant",110,"TRANSPORTATION DEMAND MANAGEMENT IN BEIJING,SECTOR-ORIENTED DEVELOPMENT OF URBAN NATIONALLY APPROPRIATE MITIGATION ACTIONS FOCUSING ON TRANSPORTATION","The project aims to improve transport demand management in Beijing in order to manage the steadily increasing traffic density. The project provides capacity building for decision-makers and transport planners to enable them to calculate baselines and assess reduction potentials as like to support the production of transport plans and the implementation of transport demand management measures.",NA,1,"Not significant",3099
