"","Year","DonorCode","DonorName","AgencyCode","AgencyName","CrsID","ProjectNumber","InitialReport","RecipientCode","RecipientName","RegionCode","RegionName","IncomegroupCode","IncomegroupName","FlowCode","FlowName","Bi_Multi","Category","Finance_t","Aid_t","USD_Commitment","USD_Disbursement","USD_Received","USD_Commitment_Defl","USD_Disbursement_Defl","USD_Received_Defl","USD_Adjustment","USD_Adjustment_Defl","USD_AmountUntied","USD_AmountPartialTied","USD_AmountTied","USD_AmountUntied_Defl","USD_AmountPartialTied_Defl","USD_Amounttied_Defl","USD_IRTC","USD_Expert_Commitment","USD_Expert_Extended","USD_Export_Credit","CurrencyCode","Commitment_National","Disbursement_National","GrantEquiv","USD_GrantEquiv","ShortDescription","ProjectTitle","PurposeCode","PurposeName","SectorCode","SectorName","ChannelCode","ChannelName","ChannelReportedName","ParentChannelCode","Geography","ExpectedStartDate","CompletionDate","LongDescription","SDGfocus","Gender","Environment","PDGG","Trade","RMNCH","DRR","Nutrition","Disability","FTC","PBA","InvestmentProject","AssocFinance","Biodiversity","ClimateMitigation","ClimateAdaptation","Desertification","CommitmentDate","TypeRepayment","NumberRepayment","Interest1","Interest2","Repaydate1","Repaydate2","USD_Interest","USD_Outstanding","USD_Arrears_Principal","USD_Arrears_Interest","BudgetIdent","CapitalExpend","PSIflag","PSIAddType","PSIAddAssess","PSIAddDevObj","ID"
"9781",2015,742,"Korea",4,"Korea International Cooperation Agency","2015016195","2.01507E+12",8,358,"Mexico",10005,"Caribbean & Central America",10019,"UMICs",11,"ODA Grants",1,10,110,"D02",0.008633,0.008633,0,0.0086989,0.0086989,0,0,0,0,0,0.008633,0,0,0.0086989,0,0,0,0,302,0.008633,0.008633,0.008633,0.008633,"KOREA-MEXICO JOINT TRAINING ON CLIMATE CHANGE AND LOW CARBON GREEN GROWT","Korea-Mexico Joint Training on Climate Change and Low Carbon Green Growt",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",11000,"Donor Government","KOICA",11000,"NORTH  CENTRAL AMERICA","10/26/2015","10/31/2015","Korea-Mexico Joint Training on Climate Change and Low Carbon Green Growth","0",0,2,0,0,0,0,0,0,1,0,0,0,0,2,1,0,"12/31/2015",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",1
"16166",2015,7,"Netherlands",1,"Ministry of Foreign Affairs of the Netherlands","2013000098","25280",3,738,"Indonesia",10008,"Far East Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"D02",0,2.21223,0,0,2.39549,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,2.21223,2.21223,2.21223,"JAK PPP GEOTHERMIE","JAK PPP Geothermie",23181,"Energy education/training",231,"Energy",51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSITEIT TWENTE",51000,"","2/1/2013","9/30/2018","Capaciteitsopbouw op het gebied van geothermie in Indonesië","0",0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,"",0,0,"",0,"","",0,0,0,0,23181,0,0,0,"0","0",2
"22499",2015,5,"Germany",2,"Kreditanstalt für Wiederaufbau","2014126217a","201066265",3,645,"India",10009,"South & Central Asia",10018,"LMICs",13,"ODA Loans",1,10,421,"C01",0,4.46775,0,0,4.81119,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,4.46775,1.64766,1.64766,"ENERGY EFFICIENCY IN PUBLIC BUILDINGS AND INFRASTRUCTURE (PHASE II)","Energy efficiency in public buildings and infrastructure (Phase II)",23110,"Energy policy and administrative management",231,"Energy",10000,"Public Sector Institutions","KfW",10000,"","3/31/2014","3/29/2022","The aim of the project is a more efficient use of energy in sub-sectors with high energy requirements and a concomitant reduction in greenhouse gas emissions.","0",0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,"3/31/2014",1,2,"1960",0,"6/30/2023","6/30/2026",0.272789,14.4204,0,0,23110,0,0,0,"0","0",3
"22531",2015,5,"Germany",2,"Kreditanstalt für Wiederaufbau","2010123721b","200766378",3,730,"China",10008,"Far East Asia",10019,"UMICs",13,"ODA Loans",1,10,421,"C01",0,0,0.652246,0,0,0.702386,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,"CLIMATE PROTECTION AND URBAN DEVELOPMENT","Climate Protection and Urban Development",23110,"Energy policy and administrative management",231,"Energy",10000,"Public Sector Institutions","KfW",10000,"","5/8/2013","5/6/2021","Financing of equipment, installation and consulting services for the Residual Heat Power Generation Xinjiang Project.","0",0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,"9/21/2010",1,2,"1890",0,"12/30/2012","12/30/2031",0.198104,10.8528,0,0,23110,0,0,0,"0","0",4
"22532",2015,5,"Germany",2,"Kreditanstalt für Wiederaufbau","2010123721a","200766378",3,730,"China",10008,"Far East Asia",10019,"UMICs",13,"ODA Loans",1,10,421,"C01",0,11.6252,0,0,12.5189,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,11.6252,4.34912,4.34912,"CLIMATE PROTECTION AND URBAN DEVELOPMENT","Climate Protection and Urban Development",23110,"Energy policy and administrative management",231,"Energy",10000,"Public Sector Institutions","KfW",10000,"","5/8/2013","5/6/2021","Financing of equipment, installation and consulting services for the Residual Heat Power Generation Xinjiang Project.","0",0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,"9/21/2010",1,2,"1890",0,"12/30/2012","12/30/2031",0.0490329,11.7815,0,0,23110,0,0,0,"0","0",5
"22553",2015,5,"Germany",2,"Kreditanstalt für Wiederaufbau","2014126217","201066265",3,645,"India",10009,"South & Central Asia",10018,"LMICs",13,"ODA Loans",1,10,421,"C01",0,14.8574,0,0,15.9995,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,14.8574,5.47922,5.47922,"ENERGY EFFICIENCY IN PUBLIC BUILDINGS AND INFRASTRUCTURE (PHASE II)","Energy efficiency in public buildings and infrastructure (Phase II)",23110,"Energy policy and administrative management",231,"Energy",10000,"Public Sector Institutions","KfW",10000,"","3/31/2014","3/29/2022","The aim of the project is a more efficient use of energy in sub-sectors with high energy requirements and a concomitant reduction in greenhouse gas emissions.","0",0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,"3/31/2014",1,2,"1960",0,"6/30/2023","6/30/2026",0.0609695,14.8574,0,0,23110,0,0,0,"0","0",6
"22893",2015,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2014127150","201070366",3,645,"India",10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0,0.261627,0,0,0.281739,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.261627,0.261627,0.261627,"ENERGY EFFICIENCY IN PUBLIC BUILDINGS AND INFRASTRUCTURE","Energy efficiency in public buildings and infrastructure",23110,"Energy policy and administrative management",231,"Energy",10000,"Public Sector Institutions","KfW",10000,"","1/7/2015","1/6/2018","Financing of expert services and costs for related goods and services for the Recipient","0",0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,"3/31/2014",0,0,"0",0,"","",0,0,0,0,23110,0,0,0,"0","0",7
"23319",2015,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2015001229","200820704",3,358,"Mexico",10005,"Caribbean & Central America",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0.028476,0.00245911,0,0.030665,0.00264815,0,0,0,0.0238629,0,0.00461312,0.0256973,0,0.00496774,0,0,0,0,302,0.028476,0.00245911,0.00245911,0.00245911,"SUSTAINABLE ENERGY PROGRAMME","Sustainable Energy Programme",23110,"Energy policy and administrative management",231,"Energy",10000,"Public Sector Institutions","GIZ",10000,"","11/7/2008","3/31/2013","Frame conditions for increasing enrgy efficiency and use of renewable energies are improved","0",0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,"12/31/2015",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",8
"23321",2015,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2015001231","201120914",3,358,"Mexico",10005,"Caribbean & Central America",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0.88741,2.69422,0,0.955627,2.90133,0,0,0,0.743649,0,0.14376,0.800815,0,0.154812,0,0,0,0,302,0.88741,2.69422,2.69422,2.69422,"SUSTAINABLE ENERGY PROGRAMME","Sustainable Energy Programme",23110,"Energy policy and administrative management",231,"Energy",10000,"Public Sector Institutions","GIZ",10000,"","10/8/2012","9/30/2017","Frame conditions for increasing energy efficiency and use of renewable energies are improved","0",1,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,"12/31/2015",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",9
"23605",2015,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2015001662","201322114",1,769,"Vietnam",10008,"Far East Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",3.32779,0.303439,0,3.5836,0.326765,0,0,0,2.78869,0,0.539102,3.00306,0,0.580543,0,0,0,0,302,3.32779,0.303439,0.303439,0.303439,"RENEWABLE ENERGY AND ENERGY EFICIENCY","Renewable Energy and Energy Eficiency",23110,"Energy policy and administrative management",231,"Energy",10000,"Public Sector Institutions","GIZ",10000,"","2/18/2015","2/28/2018","Framework conditions to promote the use of renewable energies and energy efficiency are established","0",0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,"2/18/2015",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",10
