"","CrsID","Year","RecipientName","Provider Type","Provider","Provider (detailed)","Provider Code","Agency Code","Extending Agency","Donor project N°","Recipient Code","Recipient Region","Recipient Income Group (OECD Classification)","Concessionality","Climate objective (applies to Rio-marked data only) or climate component","Adaptation objective (applies to Rio-marked data only)","Mitigation objective (applies to Rio-marked data only)","Adaptation-related development finance - Commitment - Current USD thousand","Adaptation","Mitigation-related development finance - Commitment - Current USD thousand","Mitigation","Overlap - Commitment - Current USD thousand","Overlap.Commitment","Climate-related development finance - Commitment - Current USD thousand","Climate-related development finance - Commitment - 2019 USD thousand","Channel of Delivery Code","Channel of Delivery","Purpose Code","Sector","Sub-sector","Development Cooperation Modality","Finance.Instrument","Type of Finance","Project Title","Description","Coal-related Financing","Share of the underlying commitment, % (when available)","Gender.x","ID","USD.thousand","DonorCode","DonorName","AgencyCode","AgencyName","ProjectNumber","InitialReport","RecipientCode","RegionCode","RegionName","IncomegroupCode","IncomegroupName","FlowCode","FlowName","Bi_Multi","Category","Finance_t","Aid_t","USD_Commitment","USD_Disbursement","USD_Received","USD_Commitment_Defl","USD_Disbursement_Defl","USD_Received_Defl","USD_Adjustment","USD_Adjustment_Defl","USD_AmountUntied","USD_AmountPartialTied","USD_AmountTied","USD_AmountUntied_Defl","USD_AmountPartialTied_Defl","USD_Amounttied_Defl","USD_IRTC","USD_Expert_Commitment","USD_Expert_Extended","USD_Export_Credit","CurrencyCode","Commitment_National","Disbursement_National","GrantEquiv","USD_GrantEquiv","ShortDescription","ProjectTitle","PurposeCode","PurposeName","SectorCode","SectorName","ChannelCode","ChannelName","ChannelReportedName","ParentChannelCode","Geography","ExpectedStartDate","CompletionDate","LongDescription","SDGfocus","Gender.y","Environment","PDGG","Trade","RMNCH","DRR","Nutrition","Disability","FTC","PBA","InvestmentProject","AssocFinance","Biodiversity","ClimateMitigation","ClimateAdaptation","Desertification","CommitmentDate","TypeRepayment","NumberRepayment","Interest1","Interest2","Repaydate1","Repaydate2","USD_Interest","USD_Outstanding","USD_Arrears_Principal","USD_Arrears_Interest","BudgetIdent","CapitalExpend","PSIflag","PSIAddType","PSIAddAssess","PSIAddDevObj"
"1","2008004751",2017,"India","DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation","7F-06524.03.01",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,757.388036965573,755.236059784463,"0",0,757.388036965573,755.236059784463,1,NA,23110,"Energy","Energy policy and administrative management","C01","Grant",110,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.",NA,1,"Not targeted",28019,755.236059784463,11,"Switzerland",4,"Swiss Agency for Development and Co-operation","7F-06524.03.01",3,645,10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",1.76724,0.288743,NA,1.76222,0.287923,NA,NA,NA,1.76724,NA,NA,1.76222,NA,NA,NA,NA,NA,NA,11,1.7402,0.284325,0.284325,0.288743,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Indo-Swiss Programme on Building Energy Efficiency (BEEP)",23183,"Energy conservation and demand-side efficiency",231,"II.3.a. Energy Policy",61000,"Private sector in provider country","",61000,"","10/1/2017","12/31/2021","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.","",0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,"10/1/2017",NA,NA,"",NA,"","",NA,NA,NA,NA,23183,NA,NA,NA,NA,NA
"2","2008004751",2017,"India","DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation","7F-06524.03.01",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,757.388036965573,755.236059784463,"0",0,757.388036965573,755.236059784463,1,NA,23110,"Energy","Energy policy and administrative management","C01","Grant",110,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.",NA,1,"Not targeted",28019,755.236059784463,11,"Switzerland",4,"Swiss Agency for Development and Co-operation","7F-06524.03.01",3,645,10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0.757388,0.123747,NA,0.755236,0.123395,NA,NA,NA,0.757388,NA,NA,0.755236,NA,NA,NA,NA,NA,NA,11,0.7458,0.121854,0.121854,0.123747,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Indo-Swiss Programme on Building Energy Efficiency (BEEP)",23110,"Energy policy and administrative management",231,"II.3.a. Energy Policy",61000,"Private sector in provider country","",61000,"","10/1/2017","12/31/2021","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.","",0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,"10/1/2017",NA,NA,"",NA,"","",NA,NA,NA,NA,23110,NA,NA,NA,NA,NA
"3","2008004751",2017,"India","DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation","7F-06524.03.01",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,1767.23875291967,1762.21747283041,"0",0,1767.23875291967,1762.21747283041,1,NA,23183,"Energy","Energy conservation and demand-side efficiency","C01","Grant",110,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.",NA,1,"Not targeted",28020,1762.21747283041,11,"Switzerland",4,"Swiss Agency for Development and Co-operation","7F-06524.03.01",3,645,10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",1.76724,0.288743,NA,1.76222,0.287923,NA,NA,NA,1.76724,NA,NA,1.76222,NA,NA,NA,NA,NA,NA,11,1.7402,0.284325,0.284325,0.288743,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Indo-Swiss Programme on Building Energy Efficiency (BEEP)",23183,"Energy conservation and demand-side efficiency",231,"II.3.a. Energy Policy",61000,"Private sector in provider country","",61000,"","10/1/2017","12/31/2021","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.","",0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,"10/1/2017",NA,NA,"",NA,"","",NA,NA,NA,NA,23183,NA,NA,NA,NA,NA
"4","2008004751",2017,"India","DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation","7F-06524.03.01",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,1767.23875291967,1762.21747283041,"0",0,1767.23875291967,1762.21747283041,1,NA,23183,"Energy","Energy conservation and demand-side efficiency","C01","Grant",110,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.",NA,1,"Not targeted",28020,1762.21747283041,11,"Switzerland",4,"Swiss Agency for Development and Co-operation","7F-06524.03.01",3,645,10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0.757388,0.123747,NA,0.755236,0.123395,NA,NA,NA,0.757388,NA,NA,0.755236,NA,NA,NA,NA,NA,NA,11,0.7458,0.121854,0.121854,0.123747,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Indo-Swiss Programme on Building Energy Efficiency (BEEP)",23110,"Energy policy and administrative management",231,"II.3.a. Energy Policy",61000,"Private sector in provider country","",61000,"","10/1/2017","12/31/2021","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.","",0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,"10/1/2017",NA,NA,"",NA,"","",NA,NA,NA,NA,23110,NA,NA,NA,NA,NA
"5","2008004752",2017,"India","DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation","7F-06524.03.02",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,856.707626688332,854.273451373254,"0",0,856.707626688332,854.273451373254,1,NA,23110,"Energy","Energy policy and administrative management","C01","Grant",110,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.",NA,1,"Not targeted",28021,854.273451373254,11,"Switzerland",4,"Swiss Agency for Development and Co-operation","7F-06524.03.02",3,645,10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",1.99898,0.230811,NA,1.9933,0.230155,NA,NA,NA,1.99898,NA,NA,1.9933,NA,NA,NA,NA,NA,NA,11,1.9684,0.22728,0.22728,0.230811,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Indo-Swiss Programme on Building Energy Efficiency (BEEP)",23183,"Energy conservation and demand-side efficiency",231,"II.3.a. Energy Policy",62000,"Private sector in recipient country","",62000,"","10/1/2017","12/31/2021","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.","",0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,"10/1/2017",NA,NA,"",NA,"","",NA,NA,NA,NA,23183,NA,NA,NA,NA,NA
"6","2008004752",2017,"India","DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation","7F-06524.03.02",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,856.707626688332,854.273451373254,"0",0,856.707626688332,854.273451373254,1,NA,23110,"Energy","Energy policy and administrative management","C01","Grant",110,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.",NA,1,"Not targeted",28021,854.273451373254,11,"Switzerland",4,"Swiss Agency for Development and Co-operation","7F-06524.03.02",3,645,10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0.856708,0.098919,NA,0.854273,0.0986379,NA,NA,NA,0.856708,NA,NA,0.854273,NA,NA,NA,NA,NA,NA,11,0.8436,0.0974055,0.0974055,0.098919,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Indo-Swiss Programme on Building Energy Efficiency (BEEP)",23110,"Energy policy and administrative management",231,"II.3.a. Energy Policy",62000,"Private sector in recipient country","",62000,"","10/1/2017","12/31/2021","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.","",0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,"10/1/2017",NA,NA,"",NA,"","",NA,NA,NA,NA,23110,NA,NA,NA,NA,NA
"7","2008004752",2017,"India","DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation","7F-06524.03.02",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,1998.98446227277,1993.30471987093,"0",0,1998.98446227277,1993.30471987093,1,NA,23183,"Energy","Energy conservation and demand-side efficiency","C01","Grant",110,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.",NA,1,"Not targeted",28022,1993.30471987093,11,"Switzerland",4,"Swiss Agency for Development and Co-operation","7F-06524.03.02",3,645,10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",1.99898,0.230811,NA,1.9933,0.230155,NA,NA,NA,1.99898,NA,NA,1.9933,NA,NA,NA,NA,NA,NA,11,1.9684,0.22728,0.22728,0.230811,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Indo-Swiss Programme on Building Energy Efficiency (BEEP)",23183,"Energy conservation and demand-side efficiency",231,"II.3.a. Energy Policy",62000,"Private sector in recipient country","",62000,"","10/1/2017","12/31/2021","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.","",0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,"10/1/2017",NA,NA,"",NA,"","",NA,NA,NA,NA,23183,NA,NA,NA,NA,NA
"8","2008004752",2017,"India","DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation","7F-06524.03.02",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,1998.98446227277,1993.30471987093,"0",0,1998.98446227277,1993.30471987093,1,NA,23183,"Energy","Energy conservation and demand-side efficiency","C01","Grant",110,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.",NA,1,"Not targeted",28022,1993.30471987093,11,"Switzerland",4,"Swiss Agency for Development and Co-operation","7F-06524.03.02",3,645,10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0.856708,0.098919,NA,0.854273,0.0986379,NA,NA,NA,0.856708,NA,NA,0.854273,NA,NA,NA,NA,NA,NA,11,0.8436,0.0974055,0.0974055,0.098919,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Indo-Swiss Programme on Building Energy Efficiency (BEEP)",23110,"Energy policy and administrative management",231,"II.3.a. Energy Policy",62000,"Private sector in recipient country","",62000,"","10/1/2017","12/31/2021","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.","",0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,"10/1/2017",NA,NA,"",NA,"","",NA,NA,NA,NA,23110,NA,NA,NA,NA,NA
"9","2008004753",2017,"India","DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation","7F-06524.03.03",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,162.486036356251,162.02436251745,"0",0,162.486036356251,162.02436251745,1,NA,23183,"Energy","Energy conservation and demand-side efficiency","C01","Grant",110,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.",NA,1,"Not targeted",28024,162.02436251745,11,"Switzerland",4,"Swiss Agency for Development and Co-operation","7F-06524.03.03",3,645,10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0.243729,NA,NA,0.243037,NA,NA,NA,NA,0.243729,NA,NA,0.243037,NA,NA,NA,NA,NA,NA,11,0.24,NA,NA,NA,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Indo-Swiss Programme on Building Energy Efficiency (BEEP)",23110,"Energy policy and administrative management",231,"II.3.a. Energy Policy",61000,"Private sector in provider country","",61000,"","10/1/2017","12/31/2021","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.","",0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,"10/1/2017",NA,NA,"",NA,"","",NA,NA,NA,NA,23110,NA,NA,NA,NA,NA
"10","2008004753",2017,"India","DAC member","Switzerland","Switzerland",11,4,"Swiss Agency for Development and Co-operation","7F-06524.03.03",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,162.486036356251,162.02436251745,"0",0,162.486036356251,162.02436251745,1,NA,23183,"Energy","Energy conservation and demand-side efficiency","C01","Grant",110,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.",NA,1,"Not targeted",28024,162.02436251745,11,"Switzerland",4,"Swiss Agency for Development and Co-operation","7F-06524.03.03",3,645,10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0.162486,NA,NA,0.162024,NA,NA,NA,NA,0.162486,NA,NA,0.162024,NA,NA,NA,NA,NA,NA,11,0.16,NA,NA,NA,"INDO-SWISS PROGRAMME ON BUILDING ENERGY EFFICIENCY (BEEP)","Indo-Swiss Programme on Building Energy Efficiency (BEEP)",23183,"Energy conservation and demand-side efficiency",231,"II.3.a. Energy Policy",61000,"Private sector in provider country","",61000,"","10/1/2017","12/31/2021","Globally buildings account for 35% of energy use and about 20% of GHG emissions. In India, buildings even consume 40% of all energy and cause 40% of CO2 emissions. Phase 2 of BEEP has shown that 30-45% of energy savings are possible in India with marginal additional costs compared to the current way of constructing. Based on the achievements of the previous phase, Phase 3 will focus on mainstreaming and scaling-up energy efficient and thermally comfortable building design and on promoting the on-site use of renewable energy sources.","",0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,"10/1/2017",NA,NA,"",NA,"","",NA,NA,NA,NA,23183,NA,NA,NA,NA,NA
